iter	Passed	Remaining
0	1	147
1	2	132
2	3	125
3	4	117
4	5	110
5	6	107
6	7	105
7	8	102
8	9	99
9	10	97
10	11	96
11	12	94
12	13	93
13	14	91
14	15	89
15	16	88
16	17	86
17	18	86
18	20	86
19	21	86
20	22	85
21	24	85
22	25	84
23	26	83
24	27	82
25	28	80
26	29	79
27	30	78
28	31	77
29	32	76
30	33	74
31	34	73
32	35	72
33	36	71
34	37	70
35	39	69
36	40	68
37	41	67
38	42	66
39	43	64
40	44	63
41	44	61
42	45	60
43	46	59
44	47	58
45	48	57
46	49	56
47	50	54
48	51	53
49	52	52
50	53	51
51	55	50
52	56	49
53	57	48
54	57	47
55	58	46
56	59	45
57	60	44
58	61	43
59	63	42
60	64	40
61	64	39
62	65	38
63	67	37
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	16
84	90	15
85	91	14
86	92	13
87	93	12
88	94	11
89	95	10
90	96	9
91	98	8
92	99	7
93	100	6
94	101	5
95	102	4
96	104	3
97	105	2
98	106	1
99	107	0
